rank,vectorizer_id,vectorizer_name,vectorizer_family,vectorizer_complexity,classifier_id,classifier_name,classifier_family,classifier_complexity,pipeline_id,status,accuracy,macro_f1,weighted_f1,precision_macro,recall_macro,train_time_sec,prediction_time_sec,model_size_kb,performance_score,efficiency_score,suitability_score,final_score,error
27,tfidf_char_3_5,TF-IDF Character 3-5 grams,tfidf_char,medium,logreg_balanced,Logistic Regression Balanced,linear,low,tfidf_char_3_5__logreg_balanced,completed,0.5,0.46547619047619043,0.46017857142857144,0.46296296296296297,0.5079365079365079,0.6491909027099609,0.034029483795166016,285.73828125,47.331250000000004,88.34831993103028,85,66.45185148620607,
28,tfidf_char_3_5,TF-IDF Character 3-5 grams,tfidf_char,medium,linear_svc,LinearSVC,margin_based,medium,tfidf_char_3_5__linear_svc,completed,0.5,0.47142857142857136,0.47000000000000003,0.4825396825396826,0.5079365079365079,0.08311772346496582,0.02619171142578125,285.59375,47.835714285714275,92.21791597366334,70,65.25322605187552,
29,bert_base,BERT Base Embeddings,embedding,high,linear_svc,LinearSVC,margin_based,medium,bert_base__linear_svc,completed,0.85,0.8511072261072261,0.848208041958042,0.8703703703703703,0.8492063492063492,9.381653070449829,2.8230209350585938,428644.3876953125,85.0395541958042,0.0,55,65.0217548076923,
30,word2vec_avg,Word2Vec Average,embedding_static,medium,extra_trees,Extra Trees Classifier,tree_based,medium,word2vec_avg__extra_trees,completed,0.6,0.5873015873015873,0.5809523809523809,0.5797619047619048,0.6111111111111112,0.5210058689117432,0.0744330883026123,1732.4365234375,58.952380952380956,57.7592490196228,70,64.47565932773409,
31,tfidf_char_3_5,TF-IDF Character 3-5 grams,tfidf_char,medium,multinomial_nb,Multinomial Naive Bayes,probabilistic,low,tfidf_char_3_5__multinomial_nb,completed,0.45,0.41659125188536955,0.414343891402715,0.42063492063492064,0.4523809523809524,0.13393473625183105,0.015384912490844727,402.8369140625,42.46063348416289,90.21655855178832,85,64.14666012664726,
32,word2vec_avg,Word2Vec Average,embedding_static,medium,logreg_balanced,Logistic Regression Balanced,linear,low,word2vec_avg__logreg_balanced,completed,0.45,0.4369047619047619,0.42750000000000005,0.48412698412698413,0.4682539682539682,0.04813742637634277,0.00264739990234375,794.5947265625,43.87678571428572,83.66043691635132,85,63.61431952612741,
33,bert_base,BERT Base Embeddings,embedding,high,sgd_log,SGDClassifier Logistic Loss,linear,medium,bert_base__sgd_log,completed,0.8,0.800854700854701,0.7992307692307692,0.8055555555555557,0.8015873015873015,10.388461112976074,2.3716025352478027,428635.7978515625,80.0397435897436,0.0,55,62.27185897435898,
34,tfidf_char_3_5,TF-IDF Character 3-5 grams,tfidf_char,medium,gradient_boosting,Gradient Boosting Trees,boosting,high,tfidf_char_3_5__gradient_boosting,completed,0.7,0.6888888888888888,0.6733333333333333,0.7373737373737373,0.7142857142857143,13.698503017425537,0.00820016860961914,498.2890625,68.93333333333332,30.034218750000004,55,62.170177083333336,
35,tfidf_word_1_2,TF-IDF Word 1-2 grams,tfidf_word,low,linear_svc,LinearSVC,margin_based,medium,tfidf_word_1_2__linear_svc,completed,0.35,0.36103330220977276,0.35686274509803917,0.4174603174603175,0.34920634920634924,0.020209074020385742,0.006542682647705078,50.671875,35.764939309056956,98.47274709701539,85,62.11526603938441,
36,tfidf_word_1_2,TF-IDF Word 1-2 grams,tfidf_word,low,sgd_log,SGDClassifier Logistic Loss,linear,medium,tfidf_word_1_2__sgd_log,completed,0.35,0.36103330220977276,0.35686274509803917,0.4174603174603175,0.34920634920634924,0.02794194221496582,0.009444713592529297,51.01953125,35.764939309056956,98.24527490615844,85,62.06977160121302,
